Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
EA_G__MAP7D3	5.3052	6.181	7.0881	3.7726	5.4351	8.0335	4.1145	6.7975	8.2134	6.6816	7.4399	3.8649	5.2828	6.9662	6.369	7.7975	7.3791	3.9067	3.9768	7.9146	7.4129	6.0423	7.4841	5.9373	6.1096	6.9765	8.4972	3.8711	3.6075	4.4657	5.4472	6.6247	7.5826	7.2635	4.9255	4.3312	5.013	4.094	3.8949	6.3251
EA_G__RNF38	6.9148	7.2954	7.5098	7.1471	7.7674	7.0463	7.9632	7.1018	8.3826	7.965	7.1016	6.9801	7.7336	7.6545	7.4289	7.1738	7.2114	7.696	10.3338	7.5205	7.1693	8.0718	6.9495	6.8272	7.2114	7.2771	7.3289	8.5698	7.3942	7.1435	7.1538	6.9445	6.2471	7.2272	9.2181	7.6777	7.5218	6.8799	7.6115	7.2292
EA_G__DCBLD2	8.5471	4.4849	10.0473	7.708	6.5121	9.4737	3.6511	9.2955	8.2451	7.0105	8.7746	8.1518	3.6162	7.8489	10.0058	9.1965	9.857	7.8921	8.0481	9.6844	9.6487	8.7991	10.7754	7.3132	6.7617	10.5443	9.4729	7.8692	3.5968	6.9997	6.6151	9.3028	7.7366	9.0471	7.064	7.7637	7.4904	8.1841	7.8199	7.5897
EA_G__TMPRSS2	7.1443	7.2062	5.9505	7.4163	6.1494	4.76	5.2206	4.478	5.9465	7.398	4.4614	8.4729	6.5273	4.686	4.6026	5.5772	4.5393	8.7158	9.8984	4.5147	4.4592	8.9766	4.216	7.2592	6.7275	4.3741	4.2222	6.094	7.3281	6.4244	7.2688	4.3749	4.9769	4.5539	6.2306	7.1473	5.1128	7.3834	4.9624	4.7479
EA_G__KIAA1467	6.6315	7.5406	6.6624	7.2865	9.3605	5.8311	8.6582	6.7441	6.745	7.3667	6.7519	7.505	7.9446	7.4237	6.29	6.3595	5.9867	8.131	7.0355	6.5908	7.377	7.3791	6.2821	8.4645	9.6294	6.5187	6.7367	8.5894	8.7607	6.8448	6.5345	5.8873	6.7214	6.6599	7.8531	6.7002	8.4419	6.5175	7.9241	8.2149
EA_G__FLJ13236	6.7954	7.7967	5.1752	6.5348	9.1619	5.2503	7.904	7.0045	4.8608	4.1423	4.6762	4.6083	8.1356	8.0704	5.0811	5.1715	5.9532	8.082	7.4603	6.899	7.2254	6.3988	6.9516	7.6782	7.4126	6.3646	6.6025	8.0168	7.6279	6.7583	5.2131	5.2002	6.1806	4.8706	7.998	8.0132	8.4853	7.9546	5.4881	8.3888
EA_G__PRSS8	9.6655	9.4021	8.6396	9.1182	9.8896	5.839	8.563	6.0769	7.0852	9.3449	5.6234	9.9989	8.7449	9.0331	7.2019	7.5485	8.8439	10.563	9.5767	7.8573	5.7101	9.9771	5.7054	9.0099	8.9593	5.822	5.9163	9.2733	8.5573	8.7847	9.0995	6.067	7.8782	5.7102	9.9436	9.4381	6.9483	8.2088	8.4567	7.7295
EA_G__C4orf19	8.0286	6.5288	6.1466	4.9878	6.3467	4.1448	4.8124	4.634	4.6326	4.7271	4.2693	6.6724	7.2498	4.6081	4.8004	6.5168	6.2142	6.5536	9.0779	4.6013	4.0473	6.2509	4.3065	4.9555	4.6187	4.1932	5.269	7.0548	8.0548	6.4595	6.9425	4.5201	4.0911	4.4877	8.2994	6.0957	6.5223	8.511	4.8186	5.6633
EA_G__PRODH	7.1166	8.5848	5.3758	9.6968	6.5807	5.2856	9.8394	5.9356	7.3753	6.3146	5.293	9.9249	7.0011	5.3203	5.7339	6.3419	5.347	7.6571	9.6035	5.5817	5.3378	5.6238	5.3479	6.1188	5.8214	5.7096	5.3603	10.5759	10.8014	10.6464	6.5433	5.7008	5.7056	5.2411	7.8362	10.5858	9.7075	7.7263	10.3923	9.6963
EA_G__MAG1	5.0042	4.8462	6.5185	4.46	4.6633	4.7063	5.5047	5.8096	8.6994	3.8116	8.0966	5.258	4.0635	8.6953	8.0707	6.8669	7.0484	4.0073	4.3276	6.6603	4.7034	4.608	6.35	4.994	5.0979	4.3329	7.3618	5.1826	6.106	4.5695	4.4668	7.8363	4.8364	7.0045	6.1928	7.0747	5.4076	5.0039	4.7718	6.0232
EA_G__SDC1	9.8678	9.8238	9.9144	9.5408	10.3	8.2603	9.1986	8.8559	8.3541	10.0467	8.3696	10.5063	8.5726	8.8345	9.0355	9.2236	9.4389	11.6207	9.8784	8.3024	7.9464	10.0645	8.4409	9.4673	8.7275	8.7282	8.9286	9.0714	9.007	9.5907	10.3639	7.9955	7.9054	7.6301	9.8965	9.1961	9.5786	8.4186	8.2436	8.615
EA_G__GLS	7.4277	7.4228	9.005	6.9834	6.7626	8.2057	6.6295	7.9808	9.1094	7.2106	8.9736	8.0475	7.609	9.5461	8.4018	8.6477	8.1178	5.0412	7.4503	8.7597	8.412	7.7883	8.4596	6.8403	6.6922	8.8394	8.5453	6.2814	7.2594	4.5529	7.0692	10.0833	8.7098	8.438	6.5093	7.0957	6.6458	6.6057	6.5527	6.4748
EA_G__LIX1L	7.0503	6.1563	6.3021	6.3732	6.1186	8.7243	6.1524	8.7174	6.3183	7.1465	9.297	6.3577	6.1008	8.1997	7.2702	6.291	7.1682	6.1362	5.8085	7.3612	8.4933	7.499	8.3386	6.4769	6.4167	8.6126	8.6972	6.1507	5.6465	7.0801	6.2616	8.5432	6.7169	8.4945	6.0937	6.5185	6.4799	6.6102	7.1669	6.7312
EA_G__VIM	5.3344	5.158	5.9012	5.9379	5.5988	10.7977	5.4171	10.8673	11.3817	8.0182	11.1534	5.2627	5.1136	9.4485	5.5819	6.772	7.9764	5.239	5.4915	9.8841	10.9289	7.2613	11.442	5.4061	5.6065	11.8277	10.3946	5.2262	5.1511	5.8853	5.6673	11.8249	7.839	11.273	5.4748	5.4106	5.6659	5.91	5.3475	5.5621
EA_G__OAS2	7.1455	4.6253	3.719	4.1032	8.2153	4.1669	3.8748	4.7325	4.0221	7.4363	4.9122	3.959	5.3074	8.4088	6.9894	7.2242	7.6213	7.6958	5.6067	4.0423	5.4959	9.6069	4.0249	4.8147	4.5097	4.6813	3.9876	5.0973	9.1192	4.8999	4.5263	4.5942	5.0672	4.3323	3.9623	10.0967	7.6998	7.3539	4.4419	4.2953
EA_G__CLDN3	8.0034	8.9717	6.0866	8.0567	10.0582	5.2854	9.4834	6.0702	7.6571	6.3263	4.6532	8.4969	8.109	5.5586	6.0856	7.1229	6.3996	10.9045	5.3265	5.3363	5.0908	8.3048	4.9669	9.8602	9.8658	5.456	5.1811	9.0222	9.0383	8.3115	8.5947	5.1358	5.1889	5.4921	9.2728	9.3196	7.4412	9.7707	5.38	8.391
EA_G__CX3CL1	4.8992	7.5203	5.2355	8.1937	8.0604	5.3572	4.9287	5.3369	7.6396	8.1076	8.1127	5.2753	8.3565	6.5916	5.3695	5.828	6.712	7.5009	8.6337	6.9305	7.4107	9.3933	4.8522	5.3672	5.3974	5.562	5.068	5.56	6.1645	5.6093	8.2584	5.6996	5.5162	5.4522	5.5328	9.1033	5.7656	5.5337	5.342	5.4813
EA_G__GGT6	9.0964	8.3135	8.655	7.006	8.0666	5.793	8.0847	6.0742	6.0881	7.1068	6.1738	5.6971	7.3875	6.0567	6.2042	6.7551	7.6029	7.9834	8.6305	6.0818	5.9579	8.1339	5.9044	7.6542	6.4003	6.0818	5.9307	8.2047	7.0393	7.5308	7.6895	5.9495	6.1742	5.9795	8.0673	8.5388	8.5633	8.8248	8.1634	7.6006
EA_G__METTL7A	6.6212	6.9604	6.7362	7.0326	6.869	4.438	7.0951	4.8606	4.6015	6.7344	4.7987	6.5581	7.3135	5.4968	4.9351	6.486	5.4707	7.0304	7.305	6.3376	5.6256	7.1115	4.6054	5.9996	5.7336	4.9239	4.5007	8.7566	8.0203	6.7689	7.6197	4.517	6.9958	6.3483	5.7368	6.5321	8.0299	7.8142	7.2418	6.1952
EA_G__TMEM45B	7.6067	6.9318	4.8694	8.2607	5.8827	4.0544	6.8897	4.4105	4.1082	4.5358	4.32	8.2657	6.8742	4.5363	7.0629	6.5802	5.6247	8.1369	8.1123	4.5414	4.0417	4.9594	3.8961	6.4895	5.7187	4.1766	4.7821	6.3274	8.0271	8.7181	6.6217	4.7421	4.5365	4.1764	8.6359	9.1021	8.3886	8.0495	5.7404	4.9571
EA_G__FAM126A	6.3818	4.5794	7.043	7.153	4.3663	8.6294	6.0958	8.0276	6.8821	7.6573	8.533	3.5746	4.3202	7.0721	8.1954	7.9781	8.1677	5.2757	4.5708	7.4622	7.9965	6.1561	9.3766	5.7628	4.3029	9.1447	7.9583	6.4401	5.131	4.7284	4.2539	8.47	5.9557	9.0501	6.6312	5.0043	6.138	7.4823	6.6976	7.2663
EA_G__DENND1B	6.8796	6.6791	6.7675	7.167	7.3121	4.7193	6.0054	5.6419	5.8785	5.9951	5.7859	6.8062	6.8071	6.1834	6.5026	6.5064	6.6765	6.7352	7.4498	6.5538	5.7247	7.5458	5.444	6.254	6.4954	5.8145	5.6087	6.7896	7.0417	8.8044	6.7401	5.1312	5.7658	5.6866	7.0638	7.1235	6.6987	5.8053	7.9649	9.7169
EA_G__SYDE1	6.3871	6.1369	6.3992	6.3616	5.8841	8.4653	5.4574	8.481	8.3258	6.6153	7.9902	5.8161	5.3023	6.2033	6.9579	7.0087	6.4074	6.6718	6.1217	6.9318	8.2904	7.7112	8.9081	6.0991	6.2731	8.7207	8.9894	5.7382	5.0994	6.1707	6.551	8.0444	7.0048	8.2118	6.1916	5.8197	5.9689	6.0967	6.3412	6.0907
EA_G__EPB41L2	6.6357	3.5196	8.5143	5.0152	3.8346	7.2057	6.1864	7.6175	8.2547	6.4645	8.3694	7.0403	4.1389	9.0062	5.5827	6.685	7.1446	4.5274	4.8245	8.3567	8.2745	3.269	8.2875	4.9766	7.0896	7.2073	8.3392	5.3878	8.5821	5.747	3.4058	8.1063	7.0184	7.3074	6.9073	4.428	6.6847	5.489	3.3655	5.0117
EA_G__SLC40A1	6.8502	8.0701	4.2189	8.1892	8.6575	3.7959	8.0269	4.7585	4.4506	4.0922	4.2159	7.8833	10.106	6.5779	5.4936	4.2927	5.1166	7.5421	8.1015	4.3603	6.1059	5.223	4.0297	4.289	4.0528	5.7339	4.346	9.6424	8.3737	9.2989	7.1985	4.2552	4.3975	4.2056	8.3935	7.4368	7.0743	10.0715	8.6955	7.2722
EA_G__CPAMD8	7.0478	6.0825	7.2596	7.2388	6.7996	5.6587	6.0427	5.8858	5.6522	7.7413	5.7791	6.8633	6.049	6.0436	5.9711	6.7098	6.1118	7.7258	8.4635	5.9444	5.3842	6.5933	5.5284	6.2974	6.322	6.7371	5.4769	7.4537	5.9555	7.027	6.3632	5.7861	6.2587	5.9367	6.3406	7.1091	6.9385	8.6235	6.9222	6.1828
EA_G__ARNTL2	6.1217	3.8101	6.5916	4.8596	6.2176	6.4819	3.8273	6.7977	7.7471	6.2038	6.5566	4.5198	3.7394	5.7917	9.3976	8.4682	6.7304	4.2247	5.9108	7.6544	6.7791	6.4344	6.9847	5.4205	5.5538	4.9612	7.737	5.8374	4.5655	4.671	4.5466	8.1851	7.4415	7.0224	6.74	4.5638	5.8324	5.2486	5.0043	5.9745
EA_G__C9orf150	6.3988	7.1869	6.5076	7.0707	10.7652	8.6927	9.877	6.2799	7.1481	7.4135	7.6684	8.5063	8.2506	5.0014	5.7357	6.51	8.3959	7.9191	8.0107	6.6126	6.4634	9.9622	6.4075	7.596	7.9432	7.9167	5.8597	8.115	9.0118	6.6495	6.7351	7.0564	6.7245	7.6222	6.9489	8.5812	7.2989	10.3317	7.1346	6.9196
EA_G__C1orf218	7.4242	6.7585	6.6478	7.7296	7.8377	4.8299	6.1538	4.8131	5.7539	6.1505	5.7112	7.0907	6.9728	6.1713	6.676	6.6411	6.7272	6.9322	7.6856	6.7783	5.7804	8.1156	5.8114	6.2471	6.7206	6.1616	6.2937	7.1937	7.2887	9.2348	6.5456	5.1798	6.2832	5.6584	7.7131	7.6903	7.2075	6.4256	8.9776	10.3715
EA_G__AXL	5.6804	5.1611	5.4463	5.4209	5.1827	10.2739	5.2109	10.5367	9.8631	5.2949	9.4468	5.1746	4.9087	5.3032	6.6145	8.9208	6.9786	5.4521	5.6583	8.6491	9.9664	5.4233	11.2512	5.5361	5.534	9.689	11.0247	5.0726	5.1294	6.1472	5.743	9.8877	7.8036	9.9992	5.5417	5.5984	5.7637	5.5023	5.4104	5.3293
EA_G__TGFB3	7.1774	8.6881	4.6236	8.3173	7.5047	5.5213	7.607	5.4798	5.4247	6.0167	7.2469	8.7177	7.0531	5.7405	5.0309	4.787	4.6977	7.879	8.3291	5.2017	9.4529	6.474	5.1135	6.187	6.6684	8.1792	4.6681	7.9033	8.6527	8.8772	8.7065	7.2984	5.3984	5.4579	8.0666	7.2829	8.7559	8.4583	7.4674	6.7545
EA_G__MGAT4A	7.1175	7.2337	6.1293	7.9405	6.6441	3.5648	7.0458	3.4187	6.4377	7.0051	5.7811	8.3426	8.7133	3.9622	4.1821	6.597	7.0333	7.4289	7.2257	7.3125	6.0781	7.3453	3.4221	6.2895	7.3787	4.2994	4.4567	7.106	7.0817	5.7758	6.8743	4.1153	5.0296	3.4517	7.4609	7.7127	6.3828	5.6407	5.7478	4.6306
EA_G__TNFSF15	8.1057	5.0665	4.2376	6.5491	5.3442	4.8168	3.937	4.4439	6.7509	8.5035	4.0823	4.4359	4.2295	4.6983	5.0589	6.2062	5.7244	5.1553	6.7812	6.1778	3.8683	5.2534	4.2908	5.1889	4.1671	4.6553	4.5483	8.9447	6.2674	5.0295	4.9746	4.2144	5.4643	4.2661	8.0557	5.1116	7.2695	5.1029	4.7308	4.587
EA_G__C1orf34	8.0896	8.7299	6.5143	8.6653	9.5229	4.3849	7.8825	5.2099	4.9498	6.4694	4.4875	9.621	10.7155	4.7666	5.4992	6.0973	5.9825	8.7478	8.1981	5.8414	4.7716	8.2159	4.4583	7.4708	8.655	4.7734	4.9479	9.2873	8.812	7.8876	9.2993	4.8324	4.8993	4.8296	8.0572	7.8121	7.8552	8.6739	7.8377	8.6777
EA_G__CRIP2	10.4931	10.8373	8.5349	10.9609	12.0226	9.889	9.8807	8.4484	8.4184	9.5757	7.1672	11.6983	10.5287	8.4838	7.4709	7.5177	8.5105	10.8318	9.9585	8.7795	9.9819	10.025	8.8842	10.8957	10.0144	9.5079	6.5594	11.1565	9.5562	9.9669	10.9026	9.354	8.7135	7.478	11.0502	10.7092	8.721	10.6665	10.3347	10.564
EA_G__MX1	6.7692	4.7426	5.3908	4.6858	9.9373	4.5484	4.9095	6.497	4.1892	9.6165	5.0623	4.3829	6.8304	9.198	7.6388	8.4811	4.8605	8.1899	6.5906	4.1496	6.4851	10.4663	4.1959	5.0645	5.0942	7.1075	5.0751	4.657	8.2662	5.3425	4.8804	4.7268	8.276	4.5754	5.3837	10.0995	6.0441	7.4259	4.8218	4.6197
EA_G__TC2N	8.5979	9.0717	6.9775	9.3938	7.3508	3.3223	8.2578	2.8668	6.9443	9.7443	3.7734	8.8806	7.6394	5.7542	7.1173	6.7638	7.7872	8.326	8.4157	6.5571	2.5474	7.8365	3.1031	7.5099	7.5506	3.4834	4.5382	8.6498	8.2854	8.3271	8.4929	3.1594	6.1981	2.9353	9.1398	8.8122	7.8362	8.1402	9.4791	8.1944
EA_G__SPNS2	9.8805	9.969	8.6701	8.4662	9.1726	6.8191	7.0283	6.9346	7.5126	9.9317	6.8229	11.6553	7.2706	6.8292	7.4192	7.6798	7.3562	10.0632	10.0962	8.1059	6.6545	9.2274	6.7099	8.0606	7.5755	7.0562	6.6837	7.9393	7.0477	8.1117	10.6069	6.7323	6.8803	6.9207	9.4183	9.1181	9.2715	8.6209	8.3499	7.8089
EA_G__LARGE	7.5776	7.6411	6.3724	8.2811	8.8172	6.4327	9.2071	5.4424	5.23	7.0295	7.4912	8.5957	8.6586	7.3338	5.688	5.8935	6.4137	7.4822	9.0514	5.108	4.9343	7.5548	5.6162	8.0168	8.493	6.9842	5.0348	9.7924	7.8886	8.0502	7.5051	6.4651	5.3077	5.0334	7.6831	7.6621	6.5147	7.7088	8.51	9.0378
EA_G__SIDT1	5.7225	7.4447	5.3904	8.8752	8.5645	4.6729	8.5319	4.7236	4.3608	4.6682	4.3873	8.7279	8.8931	4.4944	4.8537	4.7245	7.2688	7.7584	7.114	4.5267	4.2934	6.0595	4.3148	8.2739	8.5397	4.4179	4.9182	8.5383	9.0785	8.1899	7.1021	4.6199	4.8109	4.4668	7.8236	7.9261	7.9518	8.588	7.6898	6.1964
EA_G__NFIA	8.7219	7.9826	8.0354	7.8386	8.0413	4.1739	6.7501	5.7335	6.6336	5.2372	4.5819	7.9987	6.797	6.7164	6.497	7.8099	7.5085	8.7857	8.33	7.7521	3.6404	8.4696	5.6756	6.9786	5.9519	4.647	6.7285	7.501	8.4243	8.3092	7.9186	7.3501	5.5137	6.8647	8.2188	9.3077	9.5288	8.6585	7.8989	6.3366
EA_G__MYB	6.4454	7.3833	5.8315	7.7499	7.6455	5.0163	7.364	5.3651	5.9692	6.8993	5.1898	8.3839	7.6386	5.2504	4.5412	5.2464	5.6456	6.725	8.0208	5.3536	4.5154	5.93	5.8028	7.1808	8.0709	4.4789	5.6926	8.6746	7.4365	7.2492	6.6892	4.7019	5.5426	4.7383	6.1985	6.1338	6.9719	6.8456	6.537	7.2111
EA_G__CNTNAP3	4.7443	4.1172	7.4826	4.142	4.2774	4.4703	4.015	6.7561	8.0846	5.1941	6.7583	5.2287	4.0007	5.202	8.2941	7.786	6.8538	4.3365	6.649	8.3716	6.6659	5.9434	8.7955	4.3218	4.2363	4.9848	6.3487	4.1745	3.787	5.552	4.4674	4.3541	4.5422	4.9346	4.1382	5.3206	4.7668	4.6038	5.8202	6.4722
EA_G__CACNG4	8.4308	7.5358	5.5674	8.1032	9.2906	6.8087	9.2541	7.2291	5.6569	5.5719	5.8529	8.0835	9.0764	5.7716	5.8549	6.1478	7.1012	6.3777	7.839	6.7572	5.5176	6.431	5.6094	9.1382	8.0995	7.8307	5.7591	9.7756	8.0782	7.9557	7.3151	5.791	5.8689	5.7018	8.4194	7.8612	7.2037	8.0248	5.6487	6.6438
EA_G__CLU	7.2352	8.8649	6.2451	8.9068	8.992	8.9576	9.6033	8.0374	6.8112	8.1157	7.4522	8.8358	9.7927	5.9431	7.7097	6.4074	6.824	8.1629	9.5115	8.6745	7.7043	7.3793	7.2732	8.8706	8.885	7.8152	6.7991	9.3254	10.2466	8.8604	9.8643	7.6939	5.8874	7.0941	7.9162	8.5631	8.2237	10.2223	8.0166	6.5865
EA_G__HIG2	7.7193	10.3182	7.6916	9.7982	8.3094	7.1806	8.8925	7.3002	6.8114	9.2443	7.6533	8.9429	8.8777	8.7612	7.0476	7.034	6.886	8.9602	9.728	7.6702	6.7164	7.1713	7.7054	9.4173	8.7386	7.3557	7.2633	9.5566	8.4201	8.6189	9.6608	7.134	7.2611	7.6784	8.9239	8.0475	8.4674	9.1108	8.5845	8.2687
EA_G__CASC3	8.4111	9.6823	7.6614	8.4248	8.6808	8.2243	8.6113	8.0582	8.1973	7.9778	8.0954	7.4338	7.6564	7.9305	7.912	8.0334	7.8723	7.6213	7.5706	8.3042	8.4255	7.8706	8.0943	7.7102	7.7204	7.685	8.0209	7.2821	7.7417	7.4073	9.4532	7.9767	7.5439	8.5877	7.4034	7.8038	7.7745	8.4013	8.2008	8.5735
EA_G__CLDN4	9.5613	9.7004	8.4153	9.1411	10.0233	5.3261	7.699	5.671	8.2254	9.351	4.9589	9.9183	9.0487	8.5706	7.9375	8.5209	9.5097	9.7434	9.2804	7.8583	5.3519	9.8327	4.7374	9.318	8.7885	5.0731	5.8818	9.0956	8.7312	8.1256	9.8194	5.5932	6.9152	5.0136	9.936	9.3751	7.8684	9.4915	8.105	8.707
EA_G__PPFIBP2	7.8433	6.5176	5.6898	8.685	6.6337	5.3909	6.8131	4.6677	5.2124	6.2853	5.3868	7.7925	5.6154	5.8536	4.9366	5.4374	5.497	7.8702	7.7047	5.6356	5.98	5.7397	4.7978	6.5585	6.3397	4.0523	5.0389	7.4755	8.9514	7.7945	6.9673	5.7632	5.0592	4.8184	8.3164	7.5942	7.3962	6.0261	6.9521	5.8403
