Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
EA_G__MGAT4A	7.1175	7.2337	6.1293	7.9405	6.6441	3.5648	7.0458	3.4187	6.4377	7.0051	5.7811	8.3426	8.7133	3.9622	4.1821	6.597	7.0333	7.4289	7.2257	7.3125	6.0781	7.3453	3.4221	6.2895	7.3787	4.2994	4.4567	7.106	7.0817	5.7758	6.8743	4.1153	5.0296	3.4517	7.4609	7.7127	6.3828	5.6407	5.7478	4.6306
EA_G__SACS	4.5844	5.5065	5.7151	4.387	4.7922	8.2338	5.5884	6.5643	6.3576	7.2455	7.5184	5.6008	4.9033	5.9435	6.2962	5.4477	5.9335	3.4612	3.5737	6.839	6.8542	4.146	8.3747	5.1792	4.7755	6.9225	7.6452	4.2029	3.5922	4.7532	5.8038	8.5415	5.6956	7.7867	4.8587	4.2936	4.3439	4.6223	4.3278	6.2313
EA_G__SFMBT2	5.7736	5.2905	5.5336	6.7114	6.4577	4.8839	6.5872	7.2675	6.749	4.28	4.2661	6.8517	5.1791	7.94	4.6656	4.5785	5.8074	6.0304	4.9758	4.9318	4.3916	4.5173	5.6508	6.4391	6.336	4.7588	4.4062	6.7069	5.3539	7.8092	4.6462	5.1842	4.6369	4.4407	7.1333	6.7831	6.6726	5.9683	5.6499	5.9899
EA_G__PRSS8	9.6655	9.4021	8.6396	9.1182	9.8896	5.839	8.563	6.0769	7.0852	9.3449	5.6234	9.9989	8.7449	9.0331	7.2019	7.5485	8.8439	10.563	9.5767	7.8573	5.7101	9.9771	5.7054	9.0099	8.9593	5.822	5.9163	9.2733	8.5573	8.7847	9.0995	6.067	7.8782	5.7102	9.9436	9.4381	6.9483	8.2088	8.4567	7.7295
EA_G__STARD10	8.7444	9.3189	7.1028	9.838	10.3464	6.9657	8.9884	6.4416	7.0812	7.6816	6.3309	10.6337	9.9114	7.9561	7.2257	7.6626	7.4036	9.0078	9.147	7.3262	6.4872	7.4777	6.0307	9.734	9.5739	7.4208	6.2262	9.903	9.0237	9.6166	9.3077	6.0593	7.4425	5.9183	8.838	8.704	9.3903	8.7334	9.2205	9.5445
EA_G__PGM1	7.8898	8.6544	7.9477	6.894	5.8824	8.622	4.6605	8.209	7.3383	10.4094	8.5205	6.1105	6.4397	8.8014	7.6357	8.8727	8.9912	7.0929	7.8702	8.6363	7.5637	9.1468	8.202	6.5508	6.1904	7.7642	8.2013	6.8272	5.1604	7.7994	8.4064	8.5244	9.113	8.4196	4.5141	7.6432	8.3836	7.488	8.1875	7.4485
EA_G__SEPP1	5.8056	5.9218	3.3766	6.3037	4.7371	3.5677	6.3167	3.5959	3.2726	4.6837	3.6948	7.4843	6.7786	5.6468	3.6065	4.0479	3.7188	4.4469	7.1792	3.7197	3.9899	3.8702	4.1466	3.8268	4.8399	3.5405	3.4066	9.2661	9.3975	6.8488	4.9906	3.4597	3.7391	4.0567	6.7115	7.3823	5.9143	7.0828	9.1555	5.4501
EA_G__ST3GAL1	7.479	7.4146	8.1484	8.7443	9.373	6.1993	7.3924	5.5218	8.1524	6.6271	7.5554	8.8202	6.9143	7.3505	7.6057	8.1354	7.9493	6.8227	8.5367	6.94	4.6327	6.9953	8.126	7.3542	7.3677	5.9274	6.6399	8.2777	8.1796	7.3714	7.6457	6.6256	6.4164	6.6628	9.0394	7.2609	9.533	7.1798	7.5982	7.6796
EA_G__DNAJB4	5.6443	6.1035	6.4481	3.9001	4.3168	7.9907	4.3378	8.0466	5.2992	5.8049	7.7414	5.9526	5.3929	5.5614	6.4492	5.8692	5.7091	4.7853	5.1111	6.1544	6.802	5.857	8.51	4.2631	4.0582	6.9904	7.3876	4.94	5.3639	3.9784	5.149	8.1583	6.4834	8.0232	4.1585	6.7141	5.2226	5.0912	4.3341	4.3752
EA_G__TSPAN15	10.7984	9.8778	9.8263	10.9843	10.8123	5.9455	9.6871	8.6233	8.6585	7.7059	7.1726	10.0108	11.304	6.5389	8.5996	8.2911	9.3744	10.6364	10.3737	8.5205	6.7083	9.9074	5.7659	10.1381	9.8403	8.4957	8.9092	9.9043	11.0955	10.7178	10.8031	5.8294	6.72	5.9083	10.8783	9.4913	9.7656	9.5826	9.2614	9.4224
EA_G__SYCP2	7.275	5.8983	4.4894	6.4484	7.8828	2.9936	6.9637	3.3339	8.0918	3.8402	6.6285	9.2616	7.9569	7.1003	2.8373	5.943	6.7598	7.9079	3.9092	3.2976	7.3214	7.2432	2.5679	6.2527	6.8523	5.076	2.5324	5.136	7.891	7.1419	4.9946	6.3317	4.3206	2.547	8.7546	8.0635	7.9788	7.4247	5.1181	4.4648
EA_G__ABCC5	5.9535	8.05	7.5093	8.3158	8.0661	6.8239	8.6461	6.7479	6.9295	6.5499	7	7.9766	9.0062	7.5615	7.5179	8.4078	7.2503	8.0671	9.2941	6.922	6.4032	8.0915	7.2329	8.4363	7.7763	6.5591	6.0979	8.1434	8.4676	6.6576	8.1011	6.0554	6.2323	6.02	9.9184	5.7974	6.9504	7.7622	7.3995	7.4722
EA_G__HGD	6.292	6.1701	3.7824	7.6492	5.5405	3.7536	7.1472	3.9809	3.8709	3.8208	3.6315	8.002	8.7179	8.6658	3.8689	3.4665	4.1149	5.727	8.0684	3.8546	3.7892	4.0083	3.6706	4.0437	5.1745	3.4955	3.8207	9.1095	8.8747	5.3693	4.2486	3.9795	3.876	3.8261	5.1101	8.751	4.4323	4.1422	8.3076	8.2304
EA_G__SNF1LK	7.3472	7.4717	7.6742	6.125	6.7042	8.1864	6.7851	7.7931	9.3282	9.1018	6.591	6.3455	6.7299	7.2463	8.1673	6.9341	7.587	7.483	6.4576	8.0192	7.8682	6.7097	6.5979	7.6416	7.8113	7.7393	6.7562	6.2972	6.7103	6.7099	7.071	8.5385	9.6633	7.2634	6.732	7.0602	7.2462	6.2743	6.7865	6.8515
EA_G__SYDE1	6.3871	6.1369	6.3992	6.3616	5.8841	8.4653	5.4574	8.481	8.3258	6.6153	7.9902	5.8161	5.3023	6.2033	6.9579	7.0087	6.4074	6.6718	6.1217	6.9318	8.2904	7.7112	8.9081	6.0991	6.2731	8.7207	8.9894	5.7382	5.0994	6.1707	6.551	8.0444	7.0048	8.2118	6.1916	5.8197	5.9689	6.0967	6.3412	6.0907
EA_G__SLC9A3R1	10.8284	10.4111	9.8632	10.9597	12.1339	8.7121	11.6704	9.4501	8.938	9.3166	7.8985	11.4576	12.2228	9.8097	9.4062	9.2397	9.4918	10.8515	10.1126	9.0002	8.2983	10.211	7.7047	11.5891	11.5335	7.5431	9.0363	12.6162	10.3807	11.9228	10.702	7.9923	8.16	8.1862	10.5458	9.9597	10.2024	10.9276	11.3238	11.858
EA_G__FOXP4	7.8848	7.7068	7.8757	8.8731	8.1974	7.175	8.4056	7.6598	7.4526	10.7351	7.2738	8.346	7.6693	7.8345	7.7831	8.3282	7.7829	8.5593	7.7087	7.9492	7.0315	8.0498	7.0167	8.1031	8.2302	7.6763	7.6686	8.8877	8.4425	8.3203	7.9428	7.3333	7.9073	7.5409	8.8581	8.3212	7.5171	7.3679	8.1019	7.3865
EA_G__ATP6V1B1	8.431	8.806	5.902	7.3183	6.9918	5.9325	5.7772	6.6862	6.4595	6.2043	6.3031	6.1353	9.5806	6.3115	6.287	6.7994	6.0559	5.8694	9.4686	6.157	6.0111	9.3752	5.722	6.8148	6.4098	5.9892	5.9529	7.875	9.1033	6.5552	8.2919	6.0271	7.2476	6.1054	7.2345	8.1543	6.8779	6.3264	6.1973	6.1065
EA_G__FAS	5.2964	4.3814	4.7546	5.5666	4.5598	6.8075	4.351	5.6794	3.9808	4.755	7.461	3.7128	4.5233	5.2159	7.0657	6.6827	6.6267	4.4217	3.9523	6.3324	7.5096	6.4286	6.8271	5.7738	5.2312	6.2432	5.7043	5.0033	4.0033	4.6971	4.0116	7.1214	6.6558	6.8109	4.5431	6.5784	6.22	7.0896	6.1656	6.8306
EA_G__CDH1	9.4474	3.8156	9.8271	10.2402	10.823	4.1816	8.2155	4.0369	9.3623	7.7169	4.0645	9.8984	10.4438	8.4461	8.5324	9.4381	9.6232	10.1534	4.383	8.3525	4.2405	9.6597	4.2637	9.9596	10.2763	4.0202	3.8114	11.1983	10.3286	7.0185	4.1026	4.9675	8.714	4.0229	9.5589	10.3671	9.2285	9.8379	10.6397	10.3255
EA_G__LOC124220	8.934	7.4736	6.5045	8.0215	8.0349	5.4055	8.8675	5.5477	5.9469	5.7857	5.9124	7.9883	7.6471	5.8141	6.6156	6.0411	5.8713	8.307	7.8574	5.7468	5.5707	7.5995	6.7221	8.0322	7.9345	5.7493	7.1355	9.1801	8.6759	7.6816	7.9156	6.0924	6.2257	6.4568	6.7771	7.0487	8.2349	8.0054	7.3629	7.7702
EA_G__KIAA0258	7.5539	8.1496	8.0279	7.9098	8.3539	7.7622	8.6785	8.1614	8.1152	8.2046	7.4495	7.9908	8.078	8.3061	8.3243	8.2706	7.7579	8.3707	10.9617	8.2897	7.981	9.1788	8.1073	7.6603	8.0685	7.5373	8.0547	8.7406	8.2172	8.7381	7.8566	7.6932	7.4298	7.7927	8.3623	8.023	7.8995	7.6542	7.9678	7.9041
EA_G__DENND2D	9.997	9.4962	6.4338	7.6366	9.6926	5.0582	10.5443	5.0932	6.6694	5.7422	5.009	8.94	8.9067	8.0075	7.518	8.247	6.8982	8.6752	5.336	4.9887	7.6662	9.91	5.1395	9.0231	9.3336	4.9272	5.2654	8.4821	9.6716	8.3451	9.1582	5.3816	5.7459	5.3505	7.6687	9.1889	9.5729	8.9438	8.5828	8.5644
EA_G__TBC1D9	7.4411	8.3535	7.1464	7.6125	9.4084	6.2048	8.2922	6.5655	5.6316	6.1005	6.2244	8.751	9.4283	6.6935	4.8845	6.4304	6.9985	7.2152	7.8677	6.602	6.7832	7.9176	7.5388	8.4629	10.3338	7.3339	7.0702	9.0012	8.2913	6.6536	7.897	7.062	6.6687	7.2625	9.282	7.6497	7.818	7.18	7.7944	8.5484
EA_G__PER3	7.2994	4.7587	5.8291	7.3809	7.6406	7.7319	6.9896	6.5697	7.9503	7.3346	7.0982	8.6199	6.7186	5.7995	7.255	8.6937	6.955	7.5122	7.3702	6.6237	6.7456	8.4856	8.5718	7.2242	6.8376	7.7691	5.287	8.9877	8.1057	8.599	4.8052	7.5518	6.1644	5.4752	7.8532	8.3404	7.448	7.958	7.8333	7.3847
EA_G__NRN1	3.7117	3.7115	3.9558	3.9894	3.8488	7.8623	4.1983	4.134	4.1911	9.5621	4.7676	3.7225	4.2483	5.1235	9.0866	5.8655	6.8081	3.9634	4.3879	7.2667	6.9137	4.0412	4.2024	4.4142	3.99	8.7653	4.3209	3.778	3.9451	4.1938	4.5049	8.1735	7.3623	7.7589	3.9766	6.9142	4.7531	4.1114	4.2242	5.3893
EA_G__TUBB6	6.692	7.2698	7.7018	7.4183	6.4048	9.6368	6.551	9.6516	9.5051	9.2748	8.7564	6.7473	7.8841	8.7984	8.9031	9.0863	7.9565	7.0303	6.9209	9.1825	10.3276	8.0512	9.8505	8.3664	7.7207	10.3152	8.5128	7.6669	6.2429	7.2555	7.6011	9.9093	8.4349	9.9172	6.749	7.0652	7.1787	8.0286	7.0165	8.7717
EA_G__RERG	6.304	5.7883	5.1813	7.0617	8.9341	6.9909	7.1023	3.8992	5.2465	9.1777	6.389	7.4429	6.875	3.3728	3.7	7.0141	4.2244	5.8509	8.5667	3.7031	3.7498	8.8424	4.2458	5.4949	7.6464	4.9248	3.7492	8.2545	7.997	5.7481	4.6398	3.8895	7.7126	3.8277	7.7315	6.8926	4.3393	7.2201	6.0999	6.942
EA_G__CDYL2	7.3631	7.0718	8.1386	8.2646	8.9194	5.849	8.0675	6.0964	5.272	5.5548	5.3771	8.4468	8.5447	5.8033	5.7483	5.7744	7.8384	8.2642	8.1388	5.639	5.5573	5.97	6.2366	8.7179	8.367	5.4427	6.9612	8.487	8.1416	7.5519	7.1617	5.9508	5.5106	6.3854	8.3072	6.9069	7.6963	7.086	7.7872	6.4997
EA_G__CCND1	10.5395	9.3268	8.6418	9.3457	9.8957	7.3944	10.0676	6.6398	11.4027	8.7569	8.04	9.2783	9.2807	5.4172	9.3223	9.806	10.8656	7.3837	9.2462	8.0863	8.1412	8.9279	9.0659	9.317	9.3855	8.5732	9.4326	9.5072	10.9368	9.1561	9.1446	7.8095	6.6524	8.9671	8.6034	8.6671	8.793	8.0185	8.9741	9.6589
EA_G__SYTL2	6.4223	4.9566	6.8946	6.9103	8.1367	4.8492	5.4838	6.0044	3.9633	4.0345	4.3987	6.4077	7.0164	5.1359	3.4857	4.438	8.1738	3.9026	5.3483	5.8942	4.075	6.6446	3.8372	8.1534	9.1756	5.6328	4.8433	6.7037	7.0191	5.0262	4.9142	5.3838	4.623	3.4051	7.0082	6.9383	5.592	4.812	3.9156	5.8491
EA_G__GHR	3.6065	3.4555	3.1078	7.0331	4.4249	3.2946	8.2991	3.8792	3.6146	7.3657	3.4598	6.2015	6.8667	4.7513	3.453	3.1757	3.2235	4.3375	4.0767	2.9606	3.0266	4.2527	5.2987	4.6304	7.0062	7.6029	3.0519	5.8397	7.612	7.7942	3.5592	3.7344	3.2773	3.4318	6.1368	3.7827	5.217	7.7204	5.4494	4.6905
EA_G__C4orf34	8.8336	7.5189	6.7831	9.2875	9.0579	5.2272	9.1582	5.9496	4.721	5.3837	8.1851	9.7532	7.4229	7.588	5.1128	6.5668	7.6648	8.8131	9.1999	5.4193	6.848	8.0783	6.629	8.3072	8.1002	6.5726	5.1194	9.9662	9.103	8.0987	7.3907	8.1597	7.0955	5.3506	8.451	9.2518	9.4196	8.058	9.0896	8.1182
EA_G__XBP1	11.283	10.9214	8.6686	11.4285	11.4319	8.6723	11.3432	8.8291	8.5408	9.0517	9.4895	11.6752	10.8517	8.688	9.1233	8.734	9.1933	10.7393	11.2423	8.6586	8.207	9.7409	8.5637	10.908	11.5332	8.4505	8.6487	11.8604	11.6993	11.4718	10.6695	8.502	8.3625	9.0461	11.0474	11.1889	11.1636	10.9799	11.6409	11.6006
SNP__ZNF291	1.389	1.241	1.103	-2.232	0.842	-2.143	-1.568	0.798	-1.604	1.159	1.567	-1.657	-2.226	1.656	0.899	-1.684	1.304	1.187	-1.828	1.473	-1.248	1.151	-0.318	-1.928	-1.225	1.228	1.442	1.309	-1.604	-0.64	1.19	1.798	1.79	1.377	-1.361	1.133	-1.919	0	1.463	1.105
EA_G__MRC2	9.5108	6.3393	6.5107	6.1911	6.1822	8.4666	6.2529	7.2371	6.9342	7.854	7.6383	6.094	6.172	6.5812	6.4211	6.1795	6.195	7.3137	6.1677	6.3087	9.0085	6.3022	8.5076	6.5354	6.5896	9.5693	7.1079	6.09	6.0684	7.1592	6.5291	9.3857	7.3701	7.4802	6.2204	6.5062	6.9931	6.3224	6.3834	6.5285
EA_G__GALNT6	8.9187	8.6602	8.9768	8.6345	9.9625	4.7514	9.6093	5.9659	7.1112	6.9446	6.5514	9.8516	8.9842	5.5323	6.8487	6.3386	8.2409	5.6076	9.23	7.851	4.671	8.141	5.0226	8.965	9.2303	4.7392	5.2894	9.393	10.0229	9.2867	9.2247	4.9243	7.8977	5.0908	10.1047	9.6267	10.2162	8.6008	9.5105	9.4242
EA_G__PPARG	4.6215	6.5305	7.934	4.6426	4.1049	6.3852	4.0556	6.7641	4.1574	6.1708	6.2069	6.668	4.9985	6.4105	6.7801	7.6333	6.6165	4.2118	4.4049	4.647	4.4036	5.7946	5.4278	6.021	4.7007	6.6332	7.4767	4.882	4.7691	5.0838	6.0922	6.8835	6.719	7.2242	4.5426	5.4842	5.4998	4.629	4.8671	5.0955
EA_G__PRKCA	5.1123	6.9849	6.7965	6.093	4.4173	8.7689	4.7539	8.2832	7.1254	3.9318	7.493	4.0132	4.0291	5.6109	6.9189	6.4077	7.722	4.558	6.2455	7.0923	8.9502	4.7269	8.3028	6.6467	5.9656	9.6278	8.5886	5.5478	7.1467	5.4288	7.173	9.0008	4.8225	8.6544	5.553	5.3847	5.7431	5.6894	5.5399	5.837
EA_G__TPD52L1	8.589	9.0262	9.1708	8.3592	9.0401	6.2365	7.8629	3.8327	7.9181	9.0282	7.0258	8.5648	9.8594	7.6164	7.7196	8.9348	8.6555	7.5897	8.4093	8.1532	5.9294	9.421	6.1162	9.7039	9.0037	4.6259	4.4767	9.4654	10.4202	7.0741	9.0714	4.5757	8.3261	6.5931	8.4985	9.6596	9.4114	8.3839	7.5603	8.1797
EA_G__ESR1	7.8103	5.949	6.0559	7.1801	8.5941	5.6039	8.4071	5.6002	5.601	5.7796	5.8403	7.5436	9.7789	5.8332	6.1272	6.5118	5.9623	5.8451	6.2441	5.6586	5.4846	6.0553	5.6479	8.4338	8.7397	5.3713	5.413	8.6907	8.0188	6.1198	5.8501	5.7046	5.9209	5.8721	5.7063	6.0028	7.9154	8.6844	6.081	8.4263
EA_G__SLC19A2	7.8428	7.7834	6.555	8.6972	9.2989	5.8688	8.05	6.2701	5.9865	7.3949	6.009	8.1815	10.1415	8.0242	6.2908	7.3019	7.0936	7.4043	7.6557	7.2335	6.9579	6.8503	6.6471	7.8194	8.4896	3.9396	7.9704	7.8213	8.2376	7.1089	7.2999	6.8343	7.3796	7.4287	7.7499	7.1276	6.9377	7.6287	8.0226	7.9977
EA_G__ACN9	5.663	7.7457	7.1364	2.2474	6.4061	7.3112	2.7477	6.7576	7.1126	7.5669	8.0424	2.5176	7.5615	6.6273	6.5053	7.5679	7.2071	6.5328	2.2849	8.2112	7.1776	6.3609	7.4386	2.5402	2.3462	7.0306	7.6458	6.8231	4.2824	5.423	7.6019	7.7805	7.3034	7.8799	7.6985	6.6824	8.9937	3.1105	2.2698	3.0759
EA_G__NNMT	8.175	4.8089	6.7152	3.8271	4.1496	8.2242	3.6997	6.7616	3.8335	3.9479	6.2424	3.9401	3.567	3.7123	3.8429	5.4458	7.3319	4.2657	4.5212	4.3755	6.0984	6.0797	6.0012	4.1344	4.306	7.3124	3.8669	3.1296	4.1849	4.4702	4.3726	7.4463	8.63	7.9916	3.8228	5.2255	5.2161	4.3412	4.3434	3.8635
EA_G__SLC6A15	3.7785	7.1291	3.3198	3.273	3.5835	3.7372	3.1815	3.6574	6.8971	5.2064	5.4965	3.1428	3.5551	7.6077	6.8517	3.0742	3.4851	3.6928	3.4727	3.4102	7.1976	3.5516	3.4367	3.5232	3.5706	5.6345	3.5408	3.2714	3.3421	3.7884	7.2049	7.9561	7.7974	3.8068	3.4867	3.84	3.9042	3.6704	3.4996	6.9265
EA_G__ARRB1	8.2889	9.278	8.6028	9.8252	9.1138	7.2888	9.9283	7.3377	8.1013	10.1215	7.5478	8.8726	9.7235	8.7038	5.9949	7.766	8.4052	8.3822	9.0201	6.4387	7.4618	8.705	7.8793	8.548	9.302	8.3332	8.1342	8.6984	8.8635	8.7944	9.5879	6.4149	7.6542	5.28	8.8767	8.3635	9.7353	8.9914	7.8939	7.5003
EA_G__PPFIBP2	7.8433	6.5176	5.6898	8.685	6.6337	5.3909	6.8131	4.6677	5.2124	6.2853	5.3868	7.7925	5.6154	5.8536	4.9366	5.4374	5.497	7.8702	7.7047	5.6356	5.98	5.7397	4.7978	6.5585	6.3397	4.0523	5.0389	7.4755	8.9514	7.7945	6.9673	5.7632	5.0592	4.8184	8.3164	7.5942	7.3962	6.0261	6.9521	5.8403
EA_G__GPR81	4.9668	6.0516	3.5022	7.939	8.2233	3.5141	6.9006	3.2569	2.868	3.5631	3.7151	8.6916	6.629	4.3242	6.9887	7.1222	5.8908	8.5484	7.3637	3.5687	5.2175	4.6384	2.9743	7.6206	7.1395	3.373	4.1802	8.6643	7.4676	6.8526	6.064	3.7546	3.8905	2.7273	7.8144	4.8618	5.8669	6.462	6.8539	6.1376
EA_G__NFE2L1	8.895	7.7252	8.2076	8.1016	8.6345	8.3328	8.1838	8.4824	10.0915	7.2377	8.0658	10.4277	8.3784	8.7606	8.0923	8.1807	8.1248	7.8147	8.0424	8.6306	8.8653	8.6094	8.3908	8.3802	8.8802	7.9527	8.5012	9.6302	9.3498	8.2512	7.8589	8.2187	7.6757	7.9789	8.2022	9.7629	8.4114	8.6774	8.4395	8.4983
EA_G__ITGA5	6.3772	6.5342	7.6128	5.4102	7.6442	7.8303	4.9929	10.3861	6.7368	7.765	9.1896	7.0523	5.2835	7.3501	8.4005	6.6512	8.1923	5.8672	7.09	7.8664	9.0643	8.8209	11.1238	6.6621	6.3823	8.059	7.7972	6.2126	7.0346	5.9778	6.1176	8.4345	7.5599	10.4308	5.1878	6.8545	7.1407	6.7302	5.62	7.8886
