Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	1	1	1	1	1
Meth__cg22199080__CENTG1	0.23625	0.061486	0.10872	0.094972	0.058438	0.61599	0.10154	0.64392	0.097616	0.086269	0.17566	0.25413	0.098611	0.0721	0.10102	0.35797	0.10244	0.14007	0.1412	0.064783	0.065632	0.099916	0.20687	0.079722	0.22008	0.070071	0.14533	0.12767	0.10867	0.067304	0.38455	0.12751	0.049982	0.07832	0.091163	0.070947	0.046488	0.06776
Meth__cg24838010__SLC26A11	0.045369	0.043678	0.38366	0.080653	0.027524	0.050659	0.061192	0.84472	0.036511	0.32794	0.049852	0.74233	0.31811	0.030673	0.043237	0.07811	0.097455	0.72459	0.17316	0.033988	0.05	0.033958	0.14231	0.046223	0.81635	0.041175	0.062295	0.070986	0.038888	0.036295	0.75871	0.83486	0.032342	0.034056	0.079325	0.045784	0.033385	0.031746
Meth__cg04452095__SEPT9	0.365	0.60638	0.59394	0.64321	0.24993	0.054685	0.48911	0.038227	0.048382	0.5369	0.046433	0.0693	0.40864	0.82549	0.12759	0.058175	0.045712	0.068739	0.050199	0.8768	0.87637	0.84491	0.052272	0.88724	0.048703	0.83436	0.057143	0.87587	0.065075	0.37679	0.055856	0.051028	0.66038	0.82915	0.52253	0.83154	0.73164	0.78828
Meth__cg27285599__FLJ13841	0.056612	0.050539	0.62383	0.057414	0.042154	0.90618	0.059638	0.88838	0.049905	0.062617	0.64787	0.1119	0.19066	0.22454	0.051407	0.71732	0.8969	0.20849	0.90339	0.050433	0.059802	0.060611	0.88602	0.047621	0.89484	0.064811	0.10026	0.085314	0.09468	0.71524	0.47178	0.85135	0.055101	0.11882	0.063553	0.061965	0.059326	0.11601
Meth__cg02067021__DNAJC5B	0.028909	0.026682	0.40225	0.034316	0.10982	0.41566	0.02546	0.91101	0.026228	0.21216	0.52697	0.82479	0.072321	0.023407	0.02292	0.31178	0.37539	0.045791	0.88515	0.12727	0.093623	0.65658	0.90452	0.020805	0.9329	0.028769	0.095865	0.029474	0.036055	0.39376	0.13701	0.38071	0.037123	0.035141	0.038767	0.065511	0.029191	0.025946
Meth__cg06771126__HOP	0.068534	0.053374	0.11824	0.065886	0.054899	0.64613	0.075747	0.77335	0.082645	0.11475	0.86212	0.29557	0.20381	0.049344	0.080456	0.80806	0.8677	0.13213	0.37394	0.076447	0.075432	0.25535	0.63444	0.05658	0.77298	0.078845	0.11586	0.16674	0.075488	0.21757	0.16549	0.84844	0.04012	0.56496	0.2	0.11584	0.069915	0.078608
Meth__cg15983538__SEMA4A	0.055037	0.074217	0.10529	0.22341	0.063748	0.84618	0.24595	0.15183	0.050269	0.082469	0.094494	0.10354	0.11895	0.066634	0.054396	0.36339	0.8837	0.14457	0.2754	0.097663	0.1093	0.07786	0.86351	0.11403	0.81885	0.082458	0.18724	0.11087	0.074811	0.21347	0.36508	0.757	0.04243	0.084733	0.11846	0.076692	0.066837	0.068948
Meth__cg12999109__ASAH3	0.1046	0.038674	0.17023	0.053287	0.03652	0.92898	0.075771	0.92298	0.064464	0.042691	0.80096	0.39293	0.37811	0.052974	0.063894	0.88193	0.94787	0.1373	0.70766	0.074811	0.079126	0.073119	0.92101	0.048147	0.86271	0.063345	0.14187	0.24839	0.075923	0.9203	0.44319	0.94559	0.046024	0.049245	0.11597	0.053438	0.057515	0.082597
Meth__cg00019495__HOP	0.065804	0.054208	0.069195	0.076923	0.053654	0.77097	0.053447	0.40221	0.078713	0.085434	0.83632	0.094268	0.1004	0.036578	0.064161	0.76049	0.80696	0.12057	0.15878	0.046522	0.063906	0.050172	0.4149	0.055799	0.82704	0.063696	0.08346	0.10296	0.06139	0.085053	0.12873	0.80788	0.035855	0.13704	0.2076	0.083678	0.042567	0.046419
