Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
U133A__SLC9A6	6.4055	7.0008	5.2708	4.3228	8.7858	4.4773	6.5737	6.7706	7.7514	4.2629	6.1563	7.1961	7.6515	7.1268	4.8025	4.3595	7.158	6.999	7.5777	6.9	5.9238	6.2413	5.5375	6.5963	5.6565	7.8945	6.3295	4.5921	7.2907	4.9043	7.3732	4.9311	6.407	6.7893	7.3206	6.1149	6.3706	5.8012	6.5172	6.2142	4.9762	6.5391
U133A__TRIM29	6.9544	8.2109	6.6151	6.0632	5.8701	6.0734	6.1716	10.0772	5.9241	5.6237	7.4556	9.9971	10.5796	7.2206	7.76	8.7734	10.317	6.9716	7.3449	6.0157	5.9859	6.1446	5.7144	5.7389	5.6397	5.8418	6.9475	7.5367	5.5658	6.3601	8.4671	7.8771	5.8327	8.1552	6.4183	6.5389	9.3844	5.9939	6.618	6.1569	6.544	6.0698
U133A__CSTA	3.3672	5.2138	4.492	3.8183	4.0291	3.9406	3.9232	3.8298	3.1942	5.5298	4.8696	10.7546	10.2411	6.2854	4.2378	4.0758	8.8013	5.8523	8.0961	4.0575	4.9609	6.884	3.5562	3.861	9.2798	3.9751	7.9998	4.3999	3.7416	3.701	3.5472	4.7564	4.0488	8.603	4.9863	3.2478	4.8553	4.1182	3.3322	9.6093	3.6782	3.562
U133A__KRT4	6.9644	10.0722	5.5598	6.021	5.6361	5.6631	5.1239	6.5386	5.5032	6.0737	5.8991	9.4795	11.8723	5.6528	8.7042	12.978	7.2059	6.06	11.0246	5.7431	5.5836	5.7032	5.4862	5.5855	6.3982	5.4281	5.8633	6.9905	5.5127	5.5702	5.7597	9.9403	5.9632	5.8219	5.4273	5.8027	7.1576	6.1567	7.2326	5.8672	6.964	5.5862
U133A__CLNS1A	9.4608	8.6558	6.9005	8.581	8.8302	6.9955	8.0207	7.7269	8.5912	8.5311	9.0546	9.5556	8.4244	8.5211	7.4982	8.0984	9.0511	8.2463	8.0085	8.011	8.7419	8.7794	11.0338	8.2217	9.6021	8.4882	7.6112	7.6521	8.1443	8.5151	8.2984	8.1378	8.3304	9.2318	9.4287	8.085	10.4912	8.8496	8.6699	7.8664	7.831	8.2449
U133A__PHLDA1	5.8382	4.4531	4.5088	4.1534	6.2364	3.6929	5.3714	5.9748	4.3261	4.9452	5.4819	8.5993	8.0713	8.0033	4.3273	5.8991	6.5052	8.8726	6.6058	9.3967	4.738	4.353	4.468	7.4466	6.5506	9.4625	4.3342	4.674	8.6611	3.9009	7.3799	3.6627	8.757	7.7525	6.9589	3.8358	3.679	6.5088	4.2782	3.659	5.4414	3.5303
U133A__EEF1A2	8.4199	11.0325	8.8277	10.4452	4.9698	10.4219	9.4631	6.4697	4.4425	9.7461	5.8255	8.8877	8.1497	9.2164	10.1473	4.9156	5.5593	9.1134	5.8471	8.9212	10.5813	11.7994	9.6918	9.0784	9.8087	8.0866	10.3513	8.6957	7.2926	10.0605	4.5298	7.2008	5.2855	9.4882	6.2216	8.1734	6.2512	9.1884	8.4557	10.671	5.7969	11.6249
U133A__ODC1	7.2658	9.8365	8.4784	6.9821	9.6858	8.5726	9.7688	8.7274	9.1805	7.4758	9.8632	10.1008	8.6725	9.8299	8.3002	11.1687	9.0012	8.1336	8.249	10.7288	10.2742	8.7641	8.0235	8.4529	6.0289	10.6684	8.4585	8.5167	10.4742	8.8369	8.9036	8.9235	9.6933	9.8585	11.6096	8.7049	10.6549	8.7207	7.7962	6.2178	7.3623	8.5418
U133A__IGFBP4	11.0146	5.2361	9.7198	9.3935	7.2318	8.0076	7.5107	7.3593	7.5275	9.1421	8.2795	8.0721	7.2479	6.0637	6.2098	6.3741	6.0228	8.3002	8.3906	8.9442	7.3456	9.23	9.7558	7.7929	7.1647	10.3468	9.1055	9.0012	6.9578	5.6107	7.1508	6.7255	5.6586	7.7099	9.881	6.4871	5.5116	9.5902	10.2401	6.4333	7.5132	8.2681
U133A__RARRES1	3.8994	3.9165	5.0216	4.0122	4.0492	6.0037	3.6791	5.7348	7.3442	3.9305	6.7637	3.5562	11.4641	10.2571	4.0842	10.121	9.7524	9.0356	11.2702	3.9403	3.9169	3.788	3.8084	4.0365	8.6432	4.0386	4.0105	6.6888	6.7922	4.6732	10.8572	4.3522	3.9816	9.533	4.32	4.108	3.7814	4.0176	9.1176	4.1339	4.0754	3.9863
U133A__JAG1	4.1715	3.9738	3.6819	4.1545	4.2839	3.7708	4.507	8.0789	7.4077	4.0578	4.4086	8.2193	7.9108	7.5138	4.8254	6.404	6.704	8.8774	9.4865	8.0298	4.0333	4.1281	3.9545	7.3283	3.9943	5.8484	3.9838	4.4251	3.9955	4.9316	6.6225	3.8902	5.0175	8.7436	4.4868	7.8841	3.9565	3.6018	3.9492	3.8016	4.0315	3.7944
U133A__LAMC2	6.4531	6.0777	5.6348	5.93	6.002	6.0625	6.4877	8.5082	5.881	5.7732	6.2261	8.5525	7.7384	6.1018	7.1326	5.9453	8.8207	6.4814	7.7414	6.8578	6.3223	5.9447	5.8067	7.0817	6.0721	6.1309	6.0593	6.7055	5.9876	5.7604	6.9467	5.9867	6.0108	10.3401	6.2632	5.755	5.8722	5.8433	5.9923	5.9061	6.3937	5.7819
U133A__SYNRG	7.2809	6.6195	9.8116	7.4446	6.4624	7.1391	7.1136	6.7788	7.4791	6.3822	6.7116	6.6046	6.574	6.2967	7.026	6.7863	6.4957	7.5364	6.6443	6.3439	6.9137	6.8778	7.2459	6.8603	6.6246	6.8511	6.6902	6.4818	6.5588	7.2516	6.5593	6.4561	6.5931	6.2908	6.4468	6.9097	6.8952	6.7438	6.8543	6.7335	6.2789	7.0088
U133A__SLC39A8	5.1516	4.2055	4.6934	5.3623	6.7829	4.5658	4.9292	4.7239	4.8535	5.2895	6.9349	6.8201	7.4608	6.518	6.3975	6.201	7.026	6.0177	8.7032	5.9219	6.7641	7.3615	4.8517	5.4355	5.6375	7.3636	8.4679	4.9229	9.1978	6.4025	6.4836	4.5111	4.9586	7.9776	7.8383	6.9244	6.2055	6.6736	6.9142	6.4371	5.7098	7.2598
U133A__STK17A	4.9501	5.586	5.9762	6.0216	6.566	5.4767	6.8878	6.4057	6.6561	5.4821	6.0291	8.4562	5.8604	8.8451	4.2898	5.3348	6.9874	7.7161	7.9924	7.3272	6.1679	5.637	4.929	8.7568	5.3935	7.6759	6.849	5.6005	7.6556	6.2104	7.1288	5.4237	7.6464	7.6153	7.0711	5.235	5.8133	6.2781	5.7631	5.1737	6.1401	6.3458
U133A__PLCG2	6.5168	6.5628	6.6357	6.3363	6.7695	6.7472	6.6768	6.8618	7.0184	6.6858	6.8866	6.5975	7.3542	6.9606	6.8817	6.522	6.9216	7.2069	10.2967	6.8883	6.7778	6.8881	6.5643	6.5345	6.3556	6.7718	6.6133	6.7417	7.2307	6.3532	7.5051	6.7498	7.1081	6.2739	6.6263	6.5003	6.699	6.9178	6.6411	6.4317	6.7342	6.4792
U133A__PRKACB	5.7668	7.3425	7.9085	6.873	7.128	5.6635	7.1514	7.0985	7.116	6.5155	6.3986	6.8435	7.7829	7.5556	7.3933	7.4713	6.6439	7.7662	9.3369	7.1608	5.2971	6.3838	5.8828	7.191	6.1262	8.461	8.0549	5.4461	7.4797	7.2026	8.0305	6.4	7.3061	5.9619	6.8006	6.4627	7.2857	6.1098	7.754	6.9566	6.7215	6.3993
U133A__IL8	4.0745	4.3172	4.1479	4.0587	6.6	4.1697	5.8725	5.1717	4.2146	4.2386	4.7313	7.1824	4.7397	6.9478	4.3148	4.0815	7.3904	5.6492	4.6508	8.9614	4.2436	4.1859	4.3014	5.4975	4.6944	4.452	4.2646	4.5124	8.3977	4.2893	7.6142	4.2288	4.3639	10.3657	7.7098	4.2191	3.4927	4.0444	4.273	4.2045	4.3166	4.2885
U133A__ST3GAL5	9.5805	6.4839	7.1715	6.4751	6.5116	7.1656	7.0327	6.8297	6.4177	6.6646	6.2875	6.5189	7.4825	7.0233	8.0535	6.7829	6.2111	6.6579	6.0716	7.1331	6.6666	7.2166	7.8029	7.2347	7.3281	7.1366	8.5636	7.8383	6.7365	6.8596	6.5607	6.6984	6.6962	6.5316	6.736	6.7353	8.4997	6.4642	6.9124	8.0021	8.205	6.7229
U133A__SOD2	5.5088	6.9736	4.881	5.1914	7.7208	5.6061	6.9795	6.6548	7.6545	5.7471	8.3722	7.9873	6.5132	7.3532	5.281	5.9588	7.7653	6.3289	7.5586	6.3059	5.2549	6.0585	6.0706	8.5843	5.3729	5.5954	5.823	6.3231	11.1784	5.1422	8.2402	6.0321	7.3062	8.7586	9.3681	4.9814	6.5449	5.6744	6.295	4.8445	5.1503	6.1557
U133A__SH3GLB2	6.5425	6.1316	7.5758	6.9276	5.7078	7.1346	5.6773	6.1178	5.6393	7.6168	5.069	5.9234	7.0037	5.1924	6.6129	6.4713	5.3567	5.5879	6.4594	5.1439	5.1173	7.4452	7.2121	5.1126	7.0174	5.9868	6.6336	6.07	6.0047	6.1606	5.8607	5.7669	4.7977	6.3724	5.9489	9.1407	6.9105	7.6052	6.7678	5.9303	6.2513	6.9862
U133A__LCN2	9.7527	10.3037	5.6982	5.2882	4.8064	5.6482	5.7583	8.7478	6.1202	5.1708	10.8632	9.7416	11.5584	9.2947	6.0226	9.9002	9.4564	6.1647	10.2981	5.6309	5.6594	5.8038	5.3961	4.6992	7.3423	5.1681	5.168	5.1847	5.7672	5.507	10.3897	7.1916	5.5594	11.2868	5.3011	5.9575	5.5349	5.5872	5.4738	5.6419	5.4982	5.511
U133A__IER5	7.3983	8.4834	5.6405	7.5553	5.9635	6.4142	8.5787	7.3217	7.8547	5.634	7.5246	8.7751	8.6291	8.5956	7.2478	9.4112	7.7493	7.0389	9.4247	6.8806	7.7217	7.0547	7.6119	7.9844	7.7677	7.9227	6.8566	6.0609	7.7524	6.9052	9.7525	7.4431	4.9517	7.9731	8.0814	7.4049	8.2302	8.1897	7.8434	7.3929	6.9424	7.6796
U133A__ABCC3	6.7998	6.3802	8.3655	6.3588	6.1449	5.6793	6.1934	6.2483	5.9088	6.1385	7.0839	6.7611	6.6307	6.1827	9.2992	7.0465	6.1176	8.2582	6.1346	6.2558	7.3609	6.4042	6.7686	6.7769	9.4899	5.8987	8.1698	8.4291	6.3805	6.7496	7.0441	6.5224	6.1021	6.8492	6.7801	6.0395	7.6244	6.1232	7.6603	6.0687	9.063	5.6685
U133A__TMEM45A	3.9251	5.6223	3.8356	4.4014	7.0954	4.067	4.7032	5.7298	5.2926	3.536	5.1283	6.8653	8.9616	7.9155	4.2052	6.9156	6.3791	5.8904	8.43	6.0737	3.7106	4.2822	4.5262	6.6374	6.9656	5.4727	3.5937	7.3845	7.4182	4.0045	8.1284	5.9107	7.7047	7.3691	5.9503	7.837	8.6357	3.6449	8.7797	4.7818	4.084	3.96
U133A__C14orf132	6.5685	5.8874	7.5794	9.1172	5.7191	8.9151	6.7815	5.7685	5.747	7.4848	6.0918	5.6316	6.0757	6.1224	6.1424	6.5911	5.947	6.5909	5.5007	6.5415	7.2414	7.1242	8.7075	6.9817	8.2171	4.9994	8.7207	8.7824	6.8336	6.2356	5.7013	6.2289	6.637	6.0698	6.9631	6.5585	6.156	6.6175	9.5821	5.5833	8.014	6.6772
U133A__CBS	5.9765	5.4492	5.6544	6.2438	7.3369	6.087	6.1167	7.4403	8.4846	5.7384	8.0993	6.5391	5.9537	6.3435	7.3734	5.1559	6.6224	6.4994	7.6089	5.9747	6.9595	7.2635	5.6818	6.6504	6.1478	5.3068	5.6614	5.2172	5.6929	8.0108	8.3196	5.5159	8.1012	5.822	5.7536	8.3385	6.5534	5.6538	6.9704	5.2268	5.5683	6.395
U133A__ETV5	6.1958	5.3512	6.0268	5.6377	6.6768	4.9464	6.4844	6.3476	5.5852	5.6541	6.9955	7.4543	6.374	7.529	5.8064	5.628	6.483	8.1696	5.9095	7.7918	6.185	5.4223	5.673	7.7123	6.6378	8.0412	6.1711	5.7368	7.3255	5.7878	6.7562	5.0177	7.3943	7.3494	6.991	7.0011	7.809	5.5572	6.9736	5.4015	5.6204	5.2783
U133A__PAAF1	6.4925	6.8776	8.5266	7.4744	6.9061	5.8019	6.1624	5.5987	6.799	6.4435	6.249	7.4576	6.6983	6.1051	6.5765	7.2198	7.226	7.1454	6.7515	6.9166	7.0072	7.4152	9.6753	6.8147	6.3476	6.2475	6.5071	6.2601	6.0266	6.8968	7.2176	6.0961	6.0779	7.5041	7.0036	6.2952	7.0041	7.5951	7.2575	6.633	6.9111	6.6272
U133A__CYR61	7.9058	8.1337	7.2872	6.0591	9.9464	5.4504	9.8365	7.7791	4.4815	7.6012	8.4784	6.7943	8.0849	8.6439	6.0084	7.6799	9.575	10.4785	5.9019	10.6077	5.8235	5.4758	5.6887	7.6585	7.316	11.0284	6.8624	7.1407	7.0284	6.9966	9.4788	8.7828	10.4135	8.5484	9.6697	6.1964	7.826	8.5165	6.9877	5.8984	7.9605	5.861
U133A__ISOC1	5.1663	6.6553	7.541	8.1396	5.287	9.2407	4.9017	5.7943	7.3405	8.0976	6.9094	6.4093	6.761	6.1868	5.981	6.9766	6.6684	5.8931	5.609	5.2129	7.5138	8.045	8.8911	5.4164	6.7959	6.9834	7.4249	7.287	5.4975	7.952	6.0864	6.9193	5.8083	6.542	6.1968	6.8505	5.616	6.3399	6.6446	7.5794	5.5126	7.608
U133A__ANK3	6.4478	7.308	7.5215	7.0276	2.7342	6.8733	4.2279	7.1104	5.6934	7.8747	7.0227	5.117	6.4182	4.6788	5.0538	7.3358	6.7191	6.6335	6.6594	2.6483	5.8109	6.8444	5.6613	3.2294	6.2805	3.5943	7.386	7.623	2.9701	5.2949	7.2424	7.0939	2.7388	3.1715	5.8833	9.1143	5.702	6.1148	6.4416	6.837	5.4545	6.6091
U133A__PARP12	5.6212	7.2533	5.7221	8.0136	5.4178	5.3115	5.7062	6.5946	9.2451	5.6289	6.6519	6.3163	7.2762	7.1555	7.6052	6.4157	5.7841	7.1514	8.4965	6.4931	6.121	5.4093	6.0014	6.91	5.282	5.8362	6.0526	6.5117	6.6678	5.5824	7.8741	5.8208	5.7415	6.6629	6.5579	6.5832	5.5611	5.8681	6.089	5.0997	6.1623	5.5159
U133A__SAT1	9.5853	8.0759	9.1251	4.8567	7.4459	5.1148	5.1757	8.6751	5.2767	4.1607	8.512	7.7973	7.4163	9.0179	5.2599	9.2676	9.41	9.7312	9.8956	5.5377	6.141	6.2898	6.7268	8.8148	8.9828	6.7656	9.3357	8.0214	8.1964	5.8813	9.7495	7.0026	6.7805	8.3872	4.3567	6.5517	9.7596	6.8822	8.9195	7.141	7.9263	5.1998
U133A__BPTF	6.8483	8.6408	7.5001	7.6163	6.0281	6.4019	7.0439	6.6098	6.6248	7.1143	5.6327	6.1347	5.7794	5.5429	5.7568	5.7125	6.3422	6.9605	6.1183	5.9811	8.3108	7.9599	6.0414	7.5758	5.8278	6.3989	7.9848	5.5364	5.5385	8.2596	5.8439	8.0437	6.3576	5.6765	5.9499	7.0151	5.641	6.9433	6.4234	6.8825	6.804	6.4022
U133A__VOPP1	7.6593	8.9	8.5874	8.6245	9.115	6.7288	7.963	7.8547	8.4462	8.1704	8.7079	8.1822	8.5	9.3412	7.7637	8.1654	8.6527	8.625	9.6986	9.4578	8.491	7.8327	5.7953	8.7511	8.4591	9.3697	8.6993	8.6485	8.8221	6.2355	12.2527	8.0525	8.391	9.1371	8.7429	8.9762	7.9485	8.3646	9.5798	7.1938	8.2435	8.6987
U133A__NFIB	5.1049	8.0429	5.5476	8.2244	6.5844	7.7382	4.5777	7.2318	8.0784	6.7958	8.4369	4.8136	6.7973	7.8837	8.0486	7.8088	8.563	6.8395	9.0065	6.3652	6.5391	6.6523	3.9047	5.8632	5.138	6.9184	6.2054	5.2087	5.3905	8.4052	7.4796	7.2966	5.089	7.8456	6.1568	4.7122	5.6226	7.4827	7.2677	7.2396	4.93	8.705
U133A__FBP1	6.8861	5.4407	8.7593	9.0806	5.8518	8.9571	6.0355	5.675	5.3145	9.223	5.9597	5.9596	8.9816	6.1031	8.462	5.4783	5.7636	6.0568	6.0106	6.2966	9.2997	10.2366	9.9675	5.5894	10.3739	5.6397	10.3698	8.9993	6.0119	6.1156	5.7261	7.3014	5.5824	7.2633	5.8976	9.8817	7.7395	7.7367	9.8135	9.0869	6.2665	8.5342
U133A__ID1	7.5488	8.458	9.202	5.6677	8.8821	8.9097	8.6448	9.9643	9.5179	4.83	7.5484	9.8832	11.5212	8.5198	11.0086	11.6982	9.9092	12.1237	9.877	8.8602	8.3347	9.1138	9.3942	9.3329	8.6759	9.2361	9.5439	9.8859	7.508	9.7659	7.0042	7.7427	9.1492	8.3101	10.132	8.381	10.2033	9.0256	5.3317	9.1427	9.4895	8.2074
U133A__RDX	6.2849	7.0989	5.5424	5.2777	9.8431	4.669	7.4389	6.885	8.2381	4.714	7.2261	8.2444	7.3477	6.6441	3.4463	7.49	6.8925	7.3649	7.5288	7.2916	8.6552	8.7689	3.9994	7.5706	6.3754	7.8273	6.2957	6.3962	7.169	5.5619	7.8498	7.7306	7.8101	6.6603	7.7876	6.3776	7.0507	7.4451	8.1581	6.8784	6.3951	7.3748
U133A__FJX1	6.5939	4.9534	5.1338	5.6537	7.6143	5.2415	5.1969	5.7766	5.3144	5.5751	8.4788	9.4197	5.9251	7.3678	5.0171	6.3201	5.9498	5.4115	4.6526	6.5954	5.4403	5.4523	6.721	7.1474	6.4742	7.4808	5.9475	6.7105	5.5391	6.7111	7.0793	4.6379	6.7667	7.656	7.4484	6.3312	7.5153	7.9006	6.3415	5.6275	6.3846	6.4607
U133A__TNFRSF21	6.9434	7.383	6.2411	5.8168	7.6132	6.2938	6.7414	9.4794	6.2643	6.3644	8.9963	8.8483	7.9123	8.4644	7.3763	8.9154	9.1783	7.7884	7.9115	10.028	7.0946	6.9593	7.6411	8.7664	8.4893	9.2021	7.3706	7.6864	7.8007	5.8836	9.4798	6.6581	6.831	9.0621	5.5389	7.9016	6.9565	7.1457	7.9318	5.8725	7.7789	6.4674
U133A__BUB3	6.6002	6.0554	6.0351	7.3624	6.5937	7.3754	7.8327	7.8016	6.7483	7.7009	7.2229	7.9427	8.537	6.9331	6.2499	6.8889	6.9126	5.998	7.222	7.1674	7.425	7.6221	8.0473	7.0969	6.6585	7.9701	7.2205	8.2642	7.5448	7.2657	6.9541	6.3573	7.891	6.8639	7.7743	7.7615	10.1185	7.3584	7.5848	8.3318	7.6342	7.4434
U133A__PI3	5.4605	6.0659	5.2747	5.1541	5.6851	5.4395	5.4688	5.4843	5.4682	5.3716	9.0288	9.8906	11.7417	7.4857	5.3839	6.3272	8.0137	5.3872	10.9352	5.6048	5.2401	5.4199	5.3788	6.6699	5.4661	5.3969	5.2653	5.5095	11.1656	5.6113	8.5496	5.7414	5.7132	10.5138	5.7526	5.6718	5.2888	5.0395	5.2202	5.1343	5.6601	5.3184
U133A__NUPR1	8.3817	8.5851	9.1563	5.705	6.8348	9.1852	6.0282	8.2416	7.7551	6.5249	7.5511	6.5288	7.4436	5.3	9.6655	8.3006	7.6349	7.9804	8.4359	7.9112	5.7005	5.7052	4.8386	7.3621	5.8722	5.1132	9.5998	8.9667	6.4411	9.4877	8.737	7.3286	8.8157	4.8391	5.5743	5.9139	9.7779	9.55	8.1518	8.6268	9.2991	4.9015
U133A__ADORA2B	6.2311	6.1615	5.3114	5.5734	8.4773	5.51	7.5576	7.9456	5.3852	6.126	7.0501	8.6464	7.6821	8.9669	7.12	7.1201	7.0246	7.5635	7.1372	8.0401	6.1847	5.779	5.1524	9.0234	6.3393	8.2953	5.5289	6.2769	7.0087	5.5188	7.702	6.1711	7.4778	6.8111	6.6939	5.2126	5.9435	5.4204	6.5418	6.1897	6.3217	6.3068
U133A__CAV2	3.628	3.1779	3.3923	3.0698	7.8986	2.8462	5.1588	7.2226	3.0586	4.8437	4.7763	8.5945	8.2912	7.4602	2.8226	3.682	7.035	7.4937	8.1446	7.6605	4.8362	4.751	3.1371	7.6109	3.3443	7.438	2.9043	3.4366	6.8305	3.0974	7.613	3.3199	7.4425	7.9614	7.5886	3.3399	4.8789	2.8856	3.9524	2.9463	2.8217	2.6443
U133A__NEBL	7.1562	7.471	7.9659	8.3793	4.4277	8.0852	4.1247	8.1581	5.8258	8.7265	4.729	4.5974	6.1047	4.8275	6.2376	8.4438	4.7794	5.3089	8.8448	4.5196	7.2791	7.7379	7.7128	4.3245	6.2351	4.2596	7.1621	7.8028	3.7526	6.5042	5.5637	7.6328	4.692	4.966	5.6682	9.7977	6.3427	7.0842	8.2432	8.448	8.1131	7.1828
